139, 12 
145, 19 
144, 35 
159, 26 
156, 39 
166, 51 
158, 55 
148, 49 
162, 70 
175, 90 
174, 67 
184, 90 
186, 99 
196, 106 
306, 266 
290, 273 
325, 238 
321, 251 
313, 254 
291, 278 
287, 283 
269, 287 
272, 292 
281, 287 
297, 273 
302, 263 
301, 270 
260, 299 
256, 304 
251, 309 
234, 312 
228, 315 
221, 322 
216, 326 
213, 327 
215, 321 
198, 336 
197, 346 
203, 334 
199, 347 
193, 356 
190, 363 
190, 373 
194, 379 
190, 385 
194, 391 
194, 401 
201, 403 
204, 412 
211, 414
138,8
142,23
151,38
163,61
174,81
188,100
202,117
218,134
242,145
270,149
287,158
309,167
321,180
325,201
326,216
322,235
315,247
308,259
297,268
285,285
271,291
250,303
240,309
223,318
214,325
202,338
195,351
189,377
193,386
196,400
201,409
214,420
226,431
244,440
261,450
274,462
285,476
300,488
317,501
339,512
351,524
357,541
356,564
351,582
343,588
332,597
325,600
318,610
311,616
301,626
293,636
279,648
277,655
273,659
130, 13
147, 10
142, 22
137, 36
153, 31
149, 44
147, 60
160, 53
157, 69
166, 66
164, 77
175, 83
180, 97
189, 104
183, 111
191, 114
200, 123
208, 130
217, 133
227, 135
240, 141
249, 148
258, 149
271, 153
282, 157
292, 163
305, 168
315, 176
320, 184
329, 196
328, 206
328, 216
325, 227
324, 239
320, 246
312, 253
308, 261
302, 266
294, 275
284, 280
277, 287
265, 292
253, 300
242, 305
235, 309
225, 313
216, 319
209, 326
202, 332
197, 342
123, 11
137, 7
152, 13
135, 27
134, 42
155, 32
151, 44
143, 55
164, 47
155, 66
166, 58
156, 78
159, 94
171, 76
177, 85
186, 100
204, 119
221, 133
234, 137
258, 147
275, 155
295, 162
317, 172
327, 196
328, 215
322, 243
310, 261
291, 276
274, 286
255, 296
234, 309
222, 323
207, 330
196, 348
189, 362
191, 388
198, 401
211, 419
230, 430
258, 446
280, 471
291, 482
317, 500
323, 509
340, 517
354, 527
360, 544
358, 568
346, 588
312, 615
297, 636
285, 651
482, 584
466, 585
447, 587
420, 597
494, 581
409, 627
416, 651
300, 493
72,434
139,13
157,90
192,370
198,341
198,401
236,436
241,143
248,306
268,296
286,286
289,472
303,495
312,256
312,616
327,193
327,510
337,596
345,515
358,575
361,323
362,549
363,334
403,312
404,312
634,172
67,453
568,273
598,582
611,590
556,533
559,507
557,488
556,480
552,457
543,503
112,8
125,3
143,4
159,7
124,21
145,15
162,23
144,31
131,41
140,57
149,44
166,36
171,51
164,60
155,75
158,88
172,80
178,69
178,89
188,97
183,100
195,106
193,112
204,116
197,118
205,127
213,136
218,131
227,136
229,142
239,145
243,142
259,147
260,152
272,157
275,153
284,157
289,164
298,161
310,165
303,169
309,175
318,176
319,171
317,185
326,182
333,178
336,186
337,193
331,192
324,192
322,196
326,202
334,196
337,204
339,210
336,217
332,210
330,216
330,223
338,223
332,228
326,230
324,225
322,235
327,236
327,242
322,242
316,247
321,250
317,255
312,254
309,261
314,261
306,267
301,267
304,271
300,275
297,271
291,277
293,279
285,284
288,281
288,287
284,288
278,286
277,289
281,291
276,294
270,291
261,295
272,297
268,303
260,307
