52, 65
59, 62
68, 61
79, 57
89, 57
378, 12
371, 14
256, 31
263, 28
271, 24
283, 19
179, 199
189, 195
199, 194
204, 190
214, 184
156, 123
149, 130
194, 277
203, 277
205, 281
98, 411
103, 403
112, 400
206, 621
216, 621
226, 623
240, 622
233, 618
413, 552
453, 577
457, 569
568, 10
578, 10
568, 18
576, 21
568, 29
574, 32
568, 39
575, 42
570, 53
577, 55
360, 468
364, 474
369, 467
373, 472
378, 472
275, 385
282, 382
291, 378
22, 415
28, 425
37, 418
45, 405
46, 416
104, 407
110, 402
186, 197
205, 191
148, 134
77, 58
239, 294
235, 283
201, 279
216, 410
226, 485
239, 477
390, 652
356, 631
295, 197
4,434
7,497
18,420
31,428
33,415
40,410
55,470
81,505
88,501
115,472
118,459
272,54
278,26
278,136
282,20
302,68
305,419
307,31
313,30
320,405
323,374
324,29
338,45
346,359
349,53
350,88
351,341
358,84
364,89
367,226
371,316
378,125
380,406
381,255
406,249
409,83
411,300
414,301
420,290
432,64
435,122
435,272
436,248
441,298
474,367
479,324
493,265
513,9
524,63
527,12
230,412
692,271
708,271
693,276
703,275
708,282
702,284
693,287
703,290
708,296
703,300
694,300
693,292
691,305
708,305
706,307
702,280
542,221
536,226
541,229
547,224
483,247
481,251
475,251
625,162
509,305
520,305
441,257
400,254
406,258
409,242
424,235
381,246
373,249
372,241
410,301
420,291
437,296
402,301
407,246
358,85
355,89
346,91
347,83
341,83
334,88
337,95
376,73
372,63
389,60
389,73
404,87
325,55
320,64
310,68
301,68
288,76
334,45
417,21
420,16
421,10
384,49
377,52
647,102
661,102
679,102
694,347
692,354
716,388
721,390
589,448
589,456
584,459
584,450
579,447
613,480
615,475
619,468
614,470
610,467
586,603
581,601
581,598
434,647
431,645
428,642
432,641
395,660
393,660
388,660
391,657
394,655
393,651
391,647
389,653
211,407
214,408
216,411
219,415
222,417
225,419
229,89
231,94
226,97
231,101
226,103
220,101
215,105
215,110
218,112
223,114
235,108
235,114
236,116
231,119
273,46
275,51
274,55
271,53
269,56
257,57
259,60
254,62
248,64
289,16
286,19
282,19
279,23
20,40
14,40
9,41
3,43
130,253
118,262
114,262
115,267
122,266
117,270
115,276
113,280
110,275
106,268
32,427
25,428
22,424
18,418
23,414
34,417
49,421
50,417
51,410
53,405
47,404
42,404
40,411
45,416
41,420
55,471
54,467
248,577
254,598
253,603
258,602
239,481
235,483
228,483
220,482
231,480
234,475
389,413
387,402
379,405
383,414
478,372
472,368
481,364
475,361
469,365
463,372
474,357
534,395
534,395
538,393
535,391
538,389
547,326
553,326
561,326
492,270
494,267
493,262
493,257
478,170
476,166
474,161
469,158
471,163
474,170
469,172
461,172
468,166
381,17
367,17
366,8
374,6
568,8
580,4
578,49
579,59
569,54
570,23
223,180
212,193
189,198
173,204
211,186
162,223
202,276
105,404
120,457
186,594
234,624
351,637
414,555
374,466
572, 42
578, 44
578, 11
372, 14
551, 334
569, 345
553, 345
566, 347
603, 338
595, 286
515, 304
502, 274
481, 248
433, 247
441, 250
540, 227
404, 254
379, 255
376, 260
386, 260
418, 201
322, 270
424, 214
431, 210
425, 209
442, 255
426, 213
357, 260
382, 254
493, 197
502, 196
510, 195
542, 222
548, 132
433, 53
437, 53
429, 61
433, 66
384, 64
370, 62
375, 73
371, 66
356, 84
354, 75
342, 86
358, 85
339, 91
350, 88
391, 68
389, 59
370, 84
383, 92
402, 87
448, 62
448, 20
455, 11
465, 34
464, 26
460, 20
456, 15
446, 8
420, 14
461, 35
446, 70
405, 213
182,200
196,195
209,188
102,403
237,621
360,637
411,548
379,472
304,416
202,279
210,284
575,53
575,35
574,12
370,10
435,53
287,15
271,53
61,63
78,59
152,129
2,239
28,313
10,323
159,225
162,223
127,215
128,197
69,169
63,174
74,177
67,179
70,198
77,196
73,201
408,301
414,300
412,293
417,291
422,291
428,290
436,294
421,296
430,61
435,59
437,63
437,68
431,67
432,64
448,61
447,66
448,70
97,400
101,404
102,408
102,411
105,408
107,407
112,404
113,400
105,403
29,415
33,424
37,418
35,412
352,403
452,574
531,612
357,636
203,284
434, 271
442, 254
206, 280
192, 196
278, 385
101, 403
378, 472
415, 198
203, 189
160, 224
148, 132
304, 420
453, 573
412, 550
528, 604
536, 609
225, 486
219, 414
365, 472
447, 465
432, 432
411, 299
374, 362
352, 341
512, 304
489, 526
367,17
371,8
449,573
452,566
343,631
360,635
326,640
195,277
204,282
159,225
149,130
68,173
53,67
79,61
286,17
279,18
270,53
510,7
519,48
523,64
511,46
513,57
119,459
291,201
30,311
11,322
149,130
148,130
275,384
118,453
69,550
74,542
408,81
398,76
347,51
446,51
647,501
695,502
684,502
677,506
691,276
693,301
701,287
691,284
433,117
415,197
432,92
146,319
248,182
256,185
304,416
435,276
432,270
410,301
229,409
214,404
274,528
225,485
534,604
529,613
523,603
582,656
591,658
585,622
548,652
542,648
495,609
493,622
491,595
410,547
347,334
415,289
405,245
45,404
39,422
27,417
158,224
432,431
375,362
238,474
236,619
147,129
152,130
154,128
179,203
185,201
191,196
197,193
206,281
188,199
210,187
159,223
101,404
237,620
216,620
590,657
568,653
536,614
411,550
374,13
261,69
310,116
221,387
216,360
140,594
437,148
82,160
271,23
