243, 308
255, 301
270, 296
284, 284
295, 277
230, 315
214, 326
203, 336
141, 23
149, 36
165, 57
172, 75
184, 93
204, 113
209, 127
219, 134
231, 141
146, 54
275, 155
298, 166
317, 178
299, 492
308, 501
254, 305
279, 287
191, 353
217, 319
270, 456
278, 469
320, 503
338, 511
325, 182
328, 200
329, 218
303, 165
309, 171
320, 240
288, 477
246, 442
221, 424
192, 397
190, 369
354, 524
204, 213
168, 194
172, 191
162, 191
164, 197
201, 218
210, 215
154, 148
171, 267
159, 235
178, 245
166, 241
69, 431
70, 452
44, 468
35, 460
46, 449
54, 430
47, 445
49, 474
74, 435
67, 436
63, 453
53, 454
51, 442
86, 370
175, 268
211, 265
199, 268
204, 213
168, 194
172, 191
162, 191
164, 197
201, 218
210, 215
154, 148
171, 267
159, 235
178, 245
166, 241
69, 431
70, 452
44, 468
35, 460
46, 449
54, 430
47, 445
49, 474
74, 435
67, 436
63, 453
53, 454
51, 442
86, 370
175, 268
211, 265
199, 268
